                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.65893,                 1.8559,                 1.2986,                 0.4374,                0.75977,                 0.6203,                0.45586,                 1.0142,                 1.7723,                 2.1264,             0.00047212,             0.00047212,             0.00047212
                      2,                0.62676,                 1.2579,                  1.238,                0.70324,                0.61816,                0.81955,                0.60435,                 1.0191,                 1.6854,                 2.2346,             0.00092967,             0.00092967,             0.00092967
                      3,                0.61624,                 1.1207,                 1.2259,                0.68709,                0.87778,                0.80991,                0.62697,                0.88524,                0.96742,                 1.8906,              0.0013684,              0.0013684,              0.0013684
                      4,                0.59555,                0.98867,                 1.2057,                0.79538,                0.86082,                0.91047,                0.68737,                0.85156,                0.81638,                 1.9671,              0.0013441,              0.0013441,              0.0013441
                      5,                0.58645,                 0.9305,                 1.1926,                0.53113,                 0.7963,                0.68705,                0.55875,                0.74291,                0.92352,                 1.6019,              0.0013441,              0.0013441,              0.0013441
                      6,                0.57639,                0.90052,                 1.1918,                0.50051,                 0.9362,                0.78995,                 0.6214,                0.73079,                 0.9082,                 1.8329,              0.0013158,              0.0013158,              0.0013158
                      7,                0.55024,                0.86734,                 1.1769,                0.73432,                0.90016,                0.84978,                 0.6702,                0.78953,                0.69826,                 1.8465,              0.0012875,              0.0012875,              0.0012875
                      8,                0.54271,                0.82535,                 1.1631,                 0.6545,                0.87616,                0.82786,                0.66118,                0.84022,                0.85369,                 2.1359,              0.0012592,              0.0012592,              0.0012592
                      9,                0.53892,                0.78659,                 1.1599,                0.48332,                0.94828,                0.71296,                0.52592,                0.85736,                0.95343,                 2.0166,              0.0012309,              0.0012309,              0.0012309
                     10,                0.52846,                0.76935,                 1.1536,                0.67701,                 0.8011,                0.75548,                0.61517,                0.73086,                0.73819,                 1.6166,              0.0012026,              0.0012026,              0.0012026
                     11,                0.50446,                0.73668,                 1.1417,                0.61396,                0.91783,                0.76203,                0.60545,                0.80402,                 1.0088,                 1.9779,              0.0011744,              0.0011744,              0.0011744
                     12,                0.48968,                0.72382,                 1.1242,                0.75542,                0.90903,                0.90035,                0.76128,                0.75904,                0.69381,                 1.7857,              0.0011461,              0.0011461,              0.0011461
                     13,                0.49475,                0.70477,                 1.1292,                0.70453,                0.94074,                0.81884,                0.69197,                0.72457,                0.65155,                 1.7596,              0.0011178,              0.0011178,              0.0011178
