                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1329,                 2.2997,                 1.4631,                0.40083,                0.58646,                0.51536,                0.26403,                 1.2107,                 2.1542,                 1.3761,             0.00047142,             0.00047142,             0.00047142
                      2,                 1.1088,                 1.8065,                 1.4344,                 0.5022,                0.57362,                0.59879,                0.35005,                 1.2468,                 2.0356,                 1.3652,             0.00092899,             0.00092899,             0.00092899
                      3,                 1.1188,                 1.6585,                 1.4174,                0.44711,                0.39048,                0.41793,                0.20456,                 1.3443,                 2.5559,                 1.5134,              0.0013677,              0.0013677,              0.0013677
                      4,                 1.1047,                 1.5777,                 1.4044,                0.18431,                0.37381,                0.27856,                0.15127,                 1.2759,                 2.3764,                 1.4149,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.0736,                 1.4877,                 1.3847,                0.53056,                0.60782,                 0.6265,                0.37517,                 1.2226,                 1.6271,                 1.3806,              0.0013441,              0.0013441,              0.0013441
                      6,                  1.023,                 1.3891,                 1.3396,                0.48614,                0.54779,                0.54769,                0.30301,                 1.2448,                 1.8689,                 1.4049,              0.0013158,              0.0013158,              0.0013158
                      7,                 1.0234,                 1.3441,                 1.3498,                0.70282,                0.53993,                0.63063,                0.39556,                 1.2189,                 1.7984,                 1.4277,              0.0012875,              0.0012875,              0.0012875
                      8,                0.99394,                 1.2739,                 1.3319,                0.78021,                0.58968,                0.73427,                0.43663,                 1.2075,                 1.6879,                 1.3563,              0.0012592,              0.0012592,              0.0012592
                      9,                0.98631,                 1.2092,                 1.3204,                0.62773,                0.49497,                 0.5706,                0.38146,                 1.0918,                 1.7206,                 1.2486,              0.0012309,              0.0012309,              0.0012309
                     10,                0.95004,                 1.1744,                 1.2929,                0.53735,                0.60397,                0.66231,                0.38004,                 1.3439,                 1.5261,                 1.5023,              0.0012026,              0.0012026,              0.0012026
                     11,                0.89435,                 1.0872,                 1.2546,                0.74244,                 0.8814,                0.85467,                0.57855,                 1.1333,                 1.0657,                 1.3141,              0.0011744,              0.0011744,              0.0011744
                     12,                0.91078,                 1.0929,                 1.2598,                   0.58,                0.78669,                0.71075,                0.44775,                 1.1257,                 1.7527,                 1.3047,              0.0011461,              0.0011461,              0.0011461
                     13,                0.86645,                 1.0253,                  1.235,                0.48646,                0.74397,                0.67481,                0.41427,                 1.0977,                  1.327,                 1.2895,              0.0011178,              0.0011178,              0.0011178
                     14,                0.84767,                 0.9662,                 1.2205,                0.54886,                0.67063,                0.67641,                0.43531,                 1.2714,                 1.6334,                 1.4179,              0.0010895,              0.0010895,              0.0010895
                     15,                0.84612,                0.92866,                 1.2136,                0.41169,                0.55556,                0.45786,                0.27713,                 1.4316,                 1.8939,                 1.4561,              0.0010612,              0.0010612,              0.0010612
                     16,                0.81566,                 0.9043,                 1.1986,                0.33403,                0.44841,                0.40127,                0.20934,                 1.2215,                  2.178,                 1.4362,              0.0010329,              0.0010329,              0.0010329
                     17,                0.82027,                0.88115,                 1.2045,                0.50537,                0.64444,                0.62513,                0.39191,                 1.1473,                 1.7835,                 1.3521,              0.0010046,              0.0010046,              0.0010046
                     18,                0.79032,                0.84445,                 1.1773,                0.68794,                0.72698,                0.73928,                0.44607,                 1.1735,                 1.2005,                 1.3982,             0.00097629,             0.00097629,             0.00097629
                     19,                0.77974,                0.81287,                 1.1677,                0.54174,                0.65202,                0.61247,                0.43029,                 1.0949,                 1.8845,                 1.2889,               0.000948,               0.000948,               0.000948
                     20,                0.76337,                0.81339,                 1.1656,                0.68277,                0.61177,                0.70341,                0.49164,                  1.076,                  2.251,                 1.2845,              0.0009197,              0.0009197,              0.0009197
                     21,                0.75704,                0.79166,                 1.1589,                0.77403,                0.44921,                0.65401,                0.44386,                 1.1265,                 1.6046,                 1.3281,             0.00089141,             0.00089141,             0.00089141
                     22,                 0.7469,                0.75068,                 1.1504,                0.65818,                 0.5373,                0.68528,                0.37398,                 1.4026,                 2.3194,                 1.4958,             0.00086312,             0.00086312,             0.00086312
                     23,                0.72112,                0.73204,                 1.1405,                0.36592,                0.46905,                0.43444,                0.26048,                 1.3916,                 2.2857,                 1.4951,             0.00083482,             0.00083482,             0.00083482
                     24,                0.71325,                0.72304,                 1.1264,                0.69254,                0.69156,                0.79081,                0.47198,                 1.2138,                 1.2655,                 1.3933,             0.00080653,             0.00080653,             0.00080653
